rank,docket,application,receipt,receipt_date,title,disorder,active_pair,inventor,market,upfront,milestones,royalty,assignment,risk,doi_url,zenodo_url,github_url,paper_status,patent_status
1,MHMDCNS-001,Awaiting confirmation,Awaiting USPTO/EBC confirmation,Awaiting confirmation,Pharmaceutical compositions and methods of treating Major Depressive Disorder with a combination of agomelatine and vilazodone,Major Depressive Disorder,agomelatine + vilazodone,Daniel Jerome Broz,Mega tier; ~$18B estimated annual market,$3-8M,$200-500M,3-6%,$35-90M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609271,https://zenodo.org/records/20609271,https://github.com/danbroz/Med-discovery-public/tree/main/major_depressive_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
2,MHMDCNS-002,Awaiting confirmation,Awaiting USPTO/EBC confirmation,Awaiting confirmation,Pharmaceutical compositions and methods of treating Schizophrenia with a combination of pimavanserin and perospirone,Schizophrenia,pimavanserin + perospirone,Daniel Jerome Broz,Mega tier; ~$10B estimated annual market,$3-8M,$200-500M,3-6%,$35-90M,High psychiatry trial risk,https://doi.org/10.5281/zenodo.20609275,https://zenodo.org/records/20609275,https://github.com/danbroz/Med-discovery-public/tree/main/schizophrenia,DOI-indexed Zenodo preprint,US provisional patent pending
3,MHMDCNS-003,Awaiting confirmation,Awaiting USPTO/EBC confirmation,Awaiting confirmation,Pharmaceutical compositions and methods of treating Insomnia Disorder with a combination of suvorexant and agomelatine,Insomnia Disorder,suvorexant + agomelatine,Daniel Jerome Broz,Mega tier; ~$7B estimated annual market,$2-6M,$150-350M,2.5-5%,$25-70M,Sleep/CNS endpoint risk,https://doi.org/10.5281/zenodo.20609277,https://zenodo.org/records/20609277,https://github.com/danbroz/Med-discovery-public/tree/main/insomnia_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
4,MHMDCNS-004,Awaiting confirmation,Awaiting USPTO/EBC confirmation,Awaiting confirmation,Pharmaceutical compositions and methods of treating Bipolar I Disorder with a combination of agomelatine and perospirone,Bipolar I Disorder,agomelatine + perospirone,Daniel Jerome Broz,Mega tier; ~$8B estimated annual market,$2-6M,$150-350M,2.5-5%,$25-70M,High psychiatry trial risk,https://doi.org/10.5281/zenodo.20609280,https://zenodo.org/records/20609280,https://github.com/danbroz/Med-discovery-public/tree/main/bipolar_i_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
5,MHMDCNS-005,Awaiting confirmation,Awaiting USPTO/EBC confirmation,Awaiting confirmation,Pharmaceutical compositions and methods of treating Alzheimer's Disease Neurocognitive Disorder with a combination of pitolisant and xanomeline,Alzheimer's Disease Neurocognitive Disorder,pitolisant + xanomeline,Daniel Jerome Broz,Mega tier; ~$10B+ estimated annual market,$3-8M,$200-500M,3-6%,$35-90M,High neuro/FDA endpoint risk,https://doi.org/10.5281/zenodo.20609283,https://zenodo.org/records/20609283,https://github.com/danbroz/Med-discovery-public/tree/main/alzheimer_s_disease_ncd,DOI-indexed Zenodo preprint,US provisional patent pending
6,MHMDCNS-006,Awaiting confirmation,Awaiting USPTO/EBC confirmation,Awaiting confirmation,Pharmaceutical compositions and methods of treating Generalized Anxiety Disorder with a combination of agomelatine and vilazodone,Generalized Anxiety Disorder,agomelatine + vilazodone,Daniel Jerome Broz,Mega tier; ~$5B estimated annual market,$2-6M,$150-350M,2.5-5%,$25-70M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609285,https://zenodo.org/records/20609285,https://github.com/danbroz/Med-discovery-public/tree/main/generalized_anxiety_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
7,MHMDCNS-007,Awaiting confirmation,Awaiting USPTO/EBC confirmation,Awaiting confirmation,Pharmaceutical compositions and methods of treating Erectile Disorder with a combination of mianserin and testosterone propionate,Erectile Disorder,mianserin + testosterone propionate,Daniel Jerome Broz,Large tier; ~$5B estimated annual market,$2-6M,$150-350M,2.5-5%,$25-70M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609289,https://zenodo.org/records/20609289,https://github.com/danbroz/Med-discovery-public/tree/main/erectile_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
8,MHMDCNS-008,Awaiting confirmation,Awaiting USPTO/EBC confirmation,Awaiting confirmation,Pharmaceutical compositions and methods of treating Bipolar II Disorder with a combination of agomelatine and perospirone,Bipolar II Disorder,agomelatine + perospirone,Daniel Jerome Broz,Large tier; ~$4B estimated annual market,$1.5-4M,$100-250M,2-4.5%,$15-50M,High psychiatry trial risk,https://doi.org/10.5281/zenodo.20609293,https://zenodo.org/records/20609293,https://github.com/danbroz/Med-discovery-public/tree/main/bipolar_ii_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
9,MHMDCNS-009,Awaiting confirmation,Awaiting USPTO/EBC confirmation,Awaiting confirmation,Pharmaceutical compositions and methods of treating Major Neurocognitive Disorder with a combination of pitolisant and xanomeline,Major Neurocognitive Disorder,pitolisant + xanomeline,Daniel Jerome Broz,Large tier; ~$5B estimated annual market,$2-6M,$150-350M,2.5-5%,$25-70M,High neuro/FDA endpoint risk,https://doi.org/10.5281/zenodo.20609295,https://zenodo.org/records/20609295,https://github.com/danbroz/Med-discovery-public/tree/main/major_neurocognitive_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
10,MHMDCNS-010,Awaiting confirmation,Awaiting USPTO/EBC confirmation,Awaiting confirmation,Pharmaceutical compositions and methods of treating Parkinson's Disease Neurocognitive Disorder with a combination of pitolisant and xanomeline,Parkinson's Disease Neurocognitive Disorder,pitolisant + xanomeline,Daniel Jerome Broz,Large tier; ~$4B Parkinson's disease Rx market,$1.5-4M,$100-250M,2-4.5%,$15-50M,High neuro/FDA endpoint risk,https://doi.org/10.5281/zenodo.20609297,https://zenodo.org/records/20609297,https://github.com/danbroz/Med-discovery-public/tree/main/parkinson_s_disease_ncd,DOI-indexed Zenodo preprint,US provisional patent pending
